Name,Latitude,Longitude,Rating,User Ratings Total,Price
Toma Traders,22.7419722,90.1026997,4.9,13,
Italian Fastfood & Chinese Restaurant,22.576831,90.05484849999999,4.5,35,
DHANSIRI HOTEL & RESTAURANT,22.6551012,89.77854070000001,4.0,372,$$
The Olive Restaurant,22.6597113,89.7910878,4.2,51,
China Town Children's Park & Restaurant,22.7753348,90.0940557,4.3,13,
Medina Restaurant & Sweetmeats,22.7529099,90.08631319999999,5.0,2,
Nayem Restaurant,22.7474576,90.10270179999999,3.0,2,
Meraj Restaurant,22.7808203,89.9401032,0.0,0,
Home Kitchen jkt,22.6387261,90.1973683,4.1,26,
Castle Ashara,22.6583305,89.7954685,3.8,314,$$
Street Food Pirojpur (স্ট্রিট ফুড পিরোজপুর),22.5790807,89.9686165,4.7,11,
Mollik Hotel And Restaurant,22.777312,90.1674329,0.0,0,
Riverview Restaurant,22.7518614,90.0892914,3.5,11,
Gharoa Restaurant,22.6589369,89.7933817,4.0,28,
Bayzid Restaurant,22.6487354,90.1963303,5.0,1,
Crazy Chef BD,22.632315,89.8227517,4.2,5,
Taj Mahal restaurant food and party place,22.3911851,89.96243229999999,5.0,1,
Mina Hotel,22.6592989,89.79662139999999,4.0,36,
Burger Club Food Court (BCFC),22.6400625,90.19806249999999,4.1,38,
Kayed Hotel and Restaurant,22.6578828,90.19510249999999,5.0,3,
Star Hotel and Restaurant,22.5705256,89.97179659999999,4.1,145,
Star Hotel And Restaurant..,22.5797083,89.9688194,4.2,16,
Kabir Hotel & Restaurant,22.6572481,89.7954397,4.1,17,
হোটেল আব্বাস,22.5790936,89.9804341,3.6,123,
Eco Park River View Restaurant,22.3829296,89.9164113,4.1,119,
My fashion,22.5540989,89.95852289999999,0.0,0,
Muslim Hotel & Restaurant,22.6472072,89.7929692,3.5,2,
Taj Mahal restaurant food and party palace,22.4843072,90.0657581,5.0,5,
Best of Bus Stand: Mamun Restaurant,22.6474887,89.7925204,5.0,1,
Labib Restaurant,22.6558145,90.0946268,4.0,2,
Pizza King Resturent.Pirojpu.,22.5770016,89.981701,1.0,1,
Hasan Restaurant,22.6559194,90.0947048,2.3,3,
Sabbir Restaurant,22.5998673,90.0138348,4.4,9,
Dolon Restaurant,22.573051,90.0386352,2.8,5,
R.P Hotel And Restaurant,22.7896006,89.87774859999999,4.1,49,
Sakil Restaurant,22.6719833,90.08302139999999,2.5,2,
Nirob Hotel And Restaurant,22.5799107,89.968806,4.0,1,
Bony Amin Restaurant,22.6667527,90.1179216,4.0,3,
Badol Restaurant,22.6545004,90.09572589999999,5.0,1,
Mohibullah Restaurant,22.6499885,90.0781871,4.0,4,
"দুলাল চটপটি,ফুসকা ও হালিম হাউস।",22.7461074,90.1035967,5.0,1,
YUMMY Cafe & Biryani House,22.4848405,90.0604332,5.0,1,
Amrajuri Restaurant,22.6426216,90.0753574,3.7,3,
Coffee Time,22.451296,89.85799190000002,5.0,3,
Hotel Rose Garden,22.5786795,89.9685836,3.8,81,$
Rajdhani Hotel and Restaurant,22.6489844,89.7886003,0.0,0,
